,class
7624,p
7625,p
7626,e
7627,e
7628,p
7629,p
7630,e
7631,e
7632,e
7633,p
7634,p
7635,p
7636,e
7637,p
7638,p
7639,p
7640,e
7641,e
7642,e
7643,e
7644,e
7645,p
7646,p
7647,p
7648,p
7649,e
7650,e
7651,e
7652,e
7653,p
7654,p
7655,p
7656,p
7657,p
7658,e
7659,e
7660,p
7661,p
7662,e
7663,p
7664,e
7665,e
7666,p
7667,p
7668,p
7669,p
7670,p
7671,e
7672,p
7673,e
7674,e
7675,p
7676,p
7677,p
7678,e
7679,p
7680,e
7681,p
7682,e
7683,p
7684,p
7685,e
7686,p
7687,p
7688,e
7689,e
7690,p
7691,p
7692,e
7693,p
7694,p
7695,p
7696,p
7697,p
7698,e
7699,e
7700,p
7701,e
7702,e
7703,p
7704,e
7705,e
7706,p
7707,p
7708,p
7709,p
7710,e
7711,p
7712,e
7713,p
7714,p
7715,p
7716,e
7717,e
7718,p
7719,p
7720,e
7721,e
7722,p
7723,e
7724,e
7725,e
7726,p
7727,p
7728,p
7729,e
7730,p
7731,p
7732,p
7733,p
7734,p
7735,p
7736,e
7737,e
7738,p
7739,p
7740,e
7741,e
7742,p
7743,e
7744,e
7745,e
7746,e
7747,e
7748,e
7749,e
7750,p
7751,p
7752,e
7753,e
7754,p
7755,p
7756,p
7757,p
7758,p
7759,e
7760,p
7761,e
7762,e
7763,e
7764,p
7765,e
7766,p
7767,p
7768,p
7769,e
7770,p
7771,p
7772,e
7773,p
7774,p
7775,p
7776,e
7777,e
7778,p
7779,e
7780,p
7781,p
7782,e
7783,e
7784,p
7785,p
7786,p
7787,p
7788,e
7789,p
7790,e
7791,e
7792,p
7793,p
7794,p
7795,e
7796,p
7797,e
7798,p
7799,p
7800,p
7801,p
7802,p
7803,e
7804,p
7805,p
7806,p
7807,e
7808,p
7809,e
7810,e
7811,e
7812,p
7813,e
7814,e
7815,p
7816,p
7817,e
7818,e
7819,p
7820,p
7821,p
7822,p
7823,e
7824,p
7825,e
7826,p
7827,p
7828,e
7829,e
7830,e
7831,e
7832,p
7833,e
7834,e
7835,p
7836,e
7837,p
7838,e
7839,p
7840,e
7841,p
7842,e
7843,e
7844,e
7845,e
7846,p
7847,e
7848,p
7849,p
7850,p
7851,p
7852,p
7853,p
7854,e
7855,p
7856,p
7857,p
7858,e
7859,e
7860,e
7861,p
7862,p
7863,p
7864,p
7865,p
7866,e
7867,e
7868,p
7869,p
7870,e
7871,e
7872,e
7873,p
7874,p
7875,p
7876,p
7877,p
7878,e
7879,p
7880,p
7881,p
7882,e
7883,p
7884,p
7885,p
7886,e
7887,e
7888,p
7889,p
7890,e
7891,p
7892,p
7893,e
7894,e
7895,e
7896,p
7897,p
7898,e
7899,p
7900,e
7901,p
7902,p
7903,p
7904,e
7905,e
7906,p
7907,e
7908,p
7909,e
7910,p
7911,e
7912,e
7913,e
7914,p
7915,e
7916,e
7917,p
7918,e
7919,e
7920,p
7921,e
7922,e
7923,p
7924,p
7925,p
7926,p
7927,e
7928,p
7929,e
7930,p
7931,e
7932,p
7933,e
7934,p
7935,p
7936,p
7937,e
7938,e
7939,e
7940,e
7941,p
7942,p
7943,p
7944,e
7945,e
7946,e
7947,p
7948,p
7949,p
7950,p
7951,p
7952,e
7953,e
7954,e
7955,e
7956,e
7957,e
7958,e
7959,p
7960,e
7961,p
7962,p
7963,p
7964,e
7965,e
7966,e
7967,p
7968,p
7969,p
7970,e
7971,e
7972,e
7973,p
7974,e
7975,e
7976,e
7977,e
7978,p
7979,e
7980,p
7981,p
7982,p
7983,e
7984,e
7985,e
7986,e
7987,p
7988,e
7989,p
7990,p
7991,e
7992,p
7993,e
7994,e
7995,p
7996,e
7997,p
7998,p
7999,e
8000,e
8001,e
8002,e
8003,e
8004,p
8005,p
8006,p
8007,p
8008,p
8009,e
8010,e
8011,e
8012,p
8013,e
8014,e
8015,e
8016,p
8017,e
8018,e
8019,e
8020,p
8021,p
8022,p
8023,p
8024,p
8025,e
8026,e
8027,p
8028,p
8029,e
8030,e
8031,p
8032,p
8033,p
8034,e
8035,e
8036,e
8037,p
8038,e
8039,p
8040,e
8041,p
8042,e
8043,e
8044,e
8045,p
8046,e
8047,p
8048,p
8049,p
8050,p
8051,e
8052,e
8053,p
8054,e
8055,e
8056,e
8057,e
8058,p
8059,p
8060,p
8061,p
8062,p
8063,e
8064,p
8065,e
8066,p
8067,e
8068,e
8069,e
8070,p
8071,e
8072,p
8073,e
8074,e
8075,e
8076,e
8077,e
8078,e
8079,p
8080,p
8081,p
8082,p
8083,p
8084,e
8085,e
8086,e
8087,p
8088,e
8089,p
8090,p
8091,p
8092,p
8093,p
8094,e
8095,p
8096,e
8097,p
8098,p
8099,e
8100,e
8101,p
8102,e
8103,e
8104,e
8105,e
8106,e
8107,e
8108,p
8109,e
8110,e
8111,e
8112,e
8113,p
8114,p
8115,e
8116,p
8117,p
8118,p
8119,e
8120,e
8121,e
8122,p
8123,e
